Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
A Lan,70,80,68,63,73,32,72,ST,Right,"184cm / 6'0""",64kg / 141lb,"LW, LM",35,China PR,CSL,Qingdao W. Coast
Aakash Sangwan,55,60,36,47,50,54,57,LB,Left,"178cm / 5'10""",70kg / 154lb,,29,India,ISL,FC Goa
Aapo Halme,65,47,21,45,55,63,71,CB,Right,"196cm / 6'5""",78kg / 172lb,CDM,26,Finland,Finnliiga,HJK Helsinki
Aaren D'Silva,52,46,55,39,53,17,59,ST,Right,"185cm / 6'1""",80kg / 176lb,,26,India,ISL,Hyderabad FC
Aaron Bolger,58,56,45,56,61,52,59,CDM,Right,"170cm / 5'7""",65kg / 143lb,CM,24,Republic of Ireland,SSE Airtricity PD,St. Pats
Aaron Calver,65,62,33,51,52,62,77,CB,Right,"186cm / 6'1""",76kg / 168lb,RB,28,Australia,K League 1,Daejeon
Aaron Collins,68,80,67,64,69,35,73,ST,Right,"185cm / 6'1""",74kg / 163lb,LM,27,Wales,EFL League One,Bolton
Aaron Cresswell,74,59,59,74,74,75,62,LB,Left,"175cm / 5'9""",66kg / 146lb,CB,34,England,Premier League,West Ham
Aaron Donnelly,63,65,40,53,61,64,62,CB,Left,"185cm / 6'1""",80kg / 176lb,LB,21,Northern Ireland,Premier League,Nott'm Forest
Aaron Drinan,61,76,59,49,62,32,64,ST,Right,"178cm / 5'10""",70kg / 154lb,,26,Republic of Ireland,EFL League Two,Swindon Town
Aaron Essel,57,66,43,48,54,55,68,CDM,Right,"173cm / 5'8""",70kg / 154lb,"CB, RB",19,Ghana,Scottish Prem,St. Johnstone
Aaron Greene,62,76,61,54,61,41,68,ST,Left,"181cm / 5'11""",82kg / 181lb,LW,34,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Aaron Gurd,57,48,29,37,41,56,66,CB,Right,"179cm / 5'10""",78kg / 172lb,,22,Australia,A-League,Sydney FC
Aaron Harper-Bailey,54,57,22,39,44,54,61,CB,Left,"194cm / 6'4""",70kg / 154lb,,22,England,SSE Airtricity PD,Drogheda United
Aaron Hayden,64,64,30,44,52,62,75,CB,Right,"185cm / 6'1""",79kg / 174lb,,27,England,EFL League Two,Carlisle United
Aaron Herrera,71,71,49,69,70,67,75,RB,Right,"180cm / 5'11""",71kg / 157lb,"RM, CB",27,Guatemala,MLS,D.C. United
Aaron Hickey,76,74,54,70,74,74,68,RB,Right,"185cm / 6'1""",72kg / 159lb,LB,22,Scotland,Premier League,Brentford
Aaron James,53,67,26,35,41,53,62,CB,Right,"183cm / 6'0""",79kg / 174lb,RB,19,England,EFL League One,Wrexham
Aaron Keller,65,68,55,61,66,34,62,LM,Right,"181cm / 5'11""",77kg / 170lb,"RM, LW",20,Switzerland,Bundesliga 2,SSV Ulm 1846
Aaron Lewis,62,65,55,61,64,59,69,CM,Right,"179cm / 5'10""",74kg / 163lb,"LB, RB",26,Wales,EFL League One,Mansfield Town
Aaron Long,70,78,39,54,60,68,80,CB,Right,"188cm / 6'2""",79kg / 174lb,,31,United States,MLS,LAFC
Aaron Malouda,62,74,54,57,67,32,44,CAM,Right,"180cm / 5'11""",75kg / 165lb,,18,France,Ligue 1 McDonald's,LOSC Lille
Aaron McEneff,64,66,59,64,65,58,66,CM,Right,"175cm / 5'9""",70kg / 154lb,CAM,29,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Aaron McGowan,65,73,43,57,63,60,80,RB,Right,"180cm / 5'11""",78kg / 172lb,,28,England,EFL League One,Northampton
Aaron McNally,56,71,47,52,60,52,58,LB,Right,"173cm / 5'8""",75kg / 165lb,"RM, RB",24,Republic of Ireland,SSE Airtricity PD,Drogheda United
Aaron Meijers,66,64,55,64,65,64,68,LB,Left,"176cm / 5'9""",77kg / 170lb,,36,Netherlands,Eredivisie,RKC Waalwijk
Aaron Molinas,72,73,57,72,76,51,63,CAM,Right,"175cm / 5'9""",73kg / 161lb,CM,24,Argentina,Sudamericana,Defensa
Aaron Morley,65,67,60,67,64,61,71,CM,Right,"183cm / 6'0""",72kg / 159lb,,24,England,EFL League One,Wycombe
Aaron Nemane,64,89,53,55,66,52,52,RM,Right,"170cm / 5'7""",62kg / 137lb,"RB, RW",26,France,EFL League Two,MK Dons
Aaron Olanare,66,54,69,59,64,25,73,ST,Left,"189cm / 6'2""",82kg / 181lb,,30,Nigeria,Eliteserien,Molde FK
Aaron Opoku,68,88,56,62,72,39,61,RM,Right,"185cm / 6'1""",71kg / 157lb,"LW, RW",25,Germany,Bundesliga 2,Kaiserslautern
Aaron Pierre,62,53,37,44,47,60,74,CB,Left,"185cm / 6'1""",88kg / 194lb,,31,Grenada,EFL League One,Shrewsbury
Aaron Pressley,62,70,59,44,56,24,75,ST,Right,"194cm / 6'4""",89kg / 196lb,,22,Scotland,EFL League One,Stevenage
Aaron Ramsdale,81,81,79,85,83,48,78,GK,Right,"191cm / 6'3""",77kg / 170lb,,26,England,Premier League,Southampton
Aaron Ramsey,74,45,68,77,77,65,61,CM,Right,"183cm / 6'0""",76kg / 168lb,CAM,33,Wales,EFL Championship,Cardiff City
Aaron Ramsey,70,73,63,67,72,50,60,LM,Right,"181cm / 5'11""",73kg / 161lb,"CM, CAM, LW",21,England,EFL Championship,Burnley
Aaron Rowe,62,84,55,56,62,52,69,RM,Right,"177cm / 5'10""",64kg / 141lb,"LM, CM, RW",24,England,EFL League Two,Gillingham
Aaron Wan-Bissaka,79,82,51,68,77,77,72,RB,Right,"183cm / 6'0""",72kg / 159lb,,26,England,Premier League,West Ham
Aaron Wildig,60,55,57,59,61,54,60,CM,Right,"175cm / 5'9""",73kg / 161lb,,32,England,EFL League Two,Newport County
Aaron Zehnter,66,75,54,64,64,61,60,LM,Left,"180cm / 5'11""",70kg / 154lb,"LB, LW",19,Germany,Bundesliga 2,SC Paderborn 07
Aaron-Sky Schwarz,62,71,60,59,63,30,63,LW,Right,"180cm / 5'11""",82kg / 181lb,LM,20,Austria,Bundesliga,TSV Hartberg
Aarón,74,72,74,71,74,37,72,GK,Right,"185cm / 6'1""",71kg / 157lb,,28,Spain,LALIGA HYPERMOTION,R. Oviedo
Aarón,72,52,54,72,75,71,64,LB,Left,"178cm / 5'10""",70kg / 154lb,LM,27,Spain,Serie A Enilive,Genoa
Aarón Quirós,70,62,49,63,65,72,59,CB,Left,"178cm / 5'10""",72kg / 159lb,,22,Argentina,Primera División,Vélez Sarsfield
Abakar Sylla,72,70,30,56,68,70,76,CB,Left,"188cm / 6'2""",80kg / 176lb,,21,Cote d'Ivoire,Ligue 1 McDonald's,Strasbourg
Abbas Hüseynov,65,70,40,59,66,61,64,RB,Right,"179cm / 5'10""",76kg / 168lb,,29,Azerbaijan,Liga Azerbaijan,Qarabağ FK
Abbas Nureli,49,56,49,48,48,18,50,GK,Right,"193cm / 6'4""",77kg / 170lb,,19,China PR,CSL,Beijing FC
Abbie Larkin,66,69,56,60,65,49,49,LW,Right,"167cm / 5'6""",57kg / 126lb,LM,19,Republic of Ireland,Barclays WSL,Crystal Palace
Abby Dahlkemper,80,46,47,61,63,84,72,CB,Right,"170cm / 5'7""",60kg / 132lb,,31,United States,NWSL,Bay FC
Abby Erceg,81,47,39,59,64,84,80,CB,Right,"177cm / 5'10""",68kg / 150lb,,34,New Zealand,NWSL,Rac. Louisville
